tours,best_length
10,14682
20,14682
30,14527
40,14527
50,14527
60,14527
70,14527
80,14527
90,13408
100,13408
110,13408
120,13408
130,13408
140,13408
150,13408
160,12232
170,12232
180,12232
190,12232
200,12232
210,12232
220,12232
230,12232
240,12232
250,12232
260,12232
270,12232
280,12232
290,12232
300,12232
310,12232
320,12232
330,12232
340,12232
350,12232
360,12232
370,12232
380,12232
390,12232
400,12232
410,12232
420,12232
430,12232
440,12232
450,12232
460,12232
470,12232
480,12232
490,12232
500,12232
