tours,best_length
10,15611
20,13960
30,13523
40,13523
50,13523
60,13523
70,13523
80,13523
90,13479
100,13479
110,13479
120,13479
130,13479
140,13479
150,13479
160,13479
170,13479
180,13479
190,13479
200,13479
210,13479
220,13479
230,12789
240,12789
250,12789
260,12789
270,12789
280,12789
290,12789
300,12789
310,12789
320,12789
330,12789
340,12789
350,12789
360,12789
370,12789
380,12789
390,12789
400,12789
410,12789
420,12789
430,12789
440,12789
450,12789
460,12789
470,12789
480,12789
490,12789
500,12789
