tours,best_length
10,15873
20,14061
30,14056
40,14056
50,14056
60,13934
70,13640
80,13393
90,13393
100,13393
110,13393
120,13393
130,13393
140,13393
150,13393
160,13393
170,13393
180,13393
190,13393
200,13393
210,13393
220,13393
230,12995
240,12995
250,12995
260,12995
270,12995
280,12995
290,12995
300,12995
310,12995
320,12995
330,12995
340,12995
350,12995
360,12995
370,12995
380,12399
390,12399
400,12399
410,12399
420,12399
430,12399
440,12399
450,12399
460,12399
470,12399
480,12399
490,12399
500,12399
