tours,best_length
10,15904
20,14444
30,13973
40,13973
50,13973
60,12915
70,12915
80,12915
90,12915
100,12915
110,12915
120,12915
130,12915
140,12915
150,12915
160,12915
170,12915
180,12915
190,12915
200,12915
210,12915
220,12915
230,12915
240,12915
250,12915
260,12915
270,12915
280,12915
290,12915
300,12915
310,12915
320,12915
330,12915
340,12915
350,12915
360,12915
370,12915
380,12915
390,12915
400,12915
410,12915
420,12915
430,12915
440,12899
450,12899
460,12899
470,12899
480,12899
490,12899
500,12899
