tours,best_length
10,291797
20,290872
30,288004
40,283024
50,283024
60,265133
70,265133
80,265133
90,265133
100,265133
110,265133
120,265133
130,265133
140,265133
150,265133
160,265133
170,265133
180,265133
190,265133
200,265133
210,265133
220,265133
230,265133
240,265133
250,265133
260,265133
270,265133
280,265133
290,265133
300,265133
310,265133
320,265133
330,265133
340,265133
350,265133
360,265133
370,265133
380,265133
390,265133
400,265133
410,265133
420,265133
430,265133
440,265133
450,265133
460,265133
470,265133
480,265133
490,265133
500,265133
