tours,best_length
10,280573
20,151833
30,101055
40,72711
50,61295
60,61295
70,58435
80,53528
90,52348
100,50586
110,48209
120,47993
130,46919
140,46919
150,46443
160,45235
170,44066
180,44066
190,44066
200,44066
210,44066
220,44066
230,44066
240,43676
250,43676
260,43676
270,41176
280,41176
290,41176
300,41176
310,41176
320,41176
330,41176
340,41176
350,41176
360,41176
370,41176
380,41176
390,41176
400,41176
410,41176
420,41176
430,41176
440,41176
450,41176
460,41176
470,41176
480,41176
490,41176
500,41176
