tours,best_length
10,288587
20,140531
30,98545
40,77440
50,64533
60,61915
70,55961
80,52624
90,50856
100,50198
110,50154
120,47756
130,47756
140,46412
150,44324
160,44324
170,44324
180,44324
190,44324
200,44324
210,43425
220,43425
230,43425
240,43425
250,43425
260,43425
270,43425
280,43425
290,42629
300,42629
310,42629
320,42629
330,42629
340,42593
350,42593
360,42032
370,42032
380,42032
390,42032
400,42032
410,42032
420,42032
430,42032
440,42032
450,42032
460,42032
470,42032
480,42032
490,42032
500,42032
