tours,best_length
10,277301
20,143515
30,95753
40,74142
50,66814
60,60166
70,56600
80,55678
90,51629
100,49129
110,49129
120,49129
130,49129
140,49129
150,48404
160,47762
170,46269
180,45338
190,45338
200,45338
210,45172
220,44277
230,44277
240,44277
250,44277
260,44277
270,43865
280,43865
290,43865
300,43408
310,42970
320,42970
330,42970
340,42815
350,42473
360,42473
370,42473
380,42473
390,42473
400,42473
410,41736
420,41736
430,41736
440,41736
450,41736
460,41736
470,41736
480,41736
490,41736
500,41736
