tours,best_length
10,284608
20,137275
30,93943
40,74669
50,63572
60,58918
70,51661
80,51661
90,50256
100,49466
110,49189
120,47469
130,47469
140,47469
150,46795
160,46795
170,43148
180,42882
190,42882
200,42882
210,42882
220,42882
230,42882
240,42882
250,42882
260,42882
270,42882
280,42882
290,42882
300,42882
310,40922
320,40922
330,40922
340,40922
350,40922
360,40922
370,40922
380,40922
390,40922
400,40922
410,40922
420,40922
430,40922
440,40922
450,40922
460,40922
470,40922
480,40922
490,40922
500,40922
