tours,best_length
10,274654
20,266910
30,266910
40,266910
50,266910
60,266910
70,266910
80,266910
90,266910
100,266910
110,263512
120,239998
130,171563
140,120447
150,82175
160,74036
170,68431
180,65630
190,65630
200,63743
210,63743
220,63743
230,63743
240,63743
250,63743
260,63743
270,63280
280,63280
290,63280
300,63280
310,62830
320,61779
330,58800
340,58800
350,58800
360,58800
370,58800
380,58800
390,58800
400,58800
410,58800
420,58800
430,58800
440,58800
450,58800
460,58800
470,58800
480,58800
490,58800
500,58800
