tours,best_length
5,10528
10,10528
15,10528
20,10528
25,10528
30,10528
35,10528
40,10528
45,10426
50,10426
55,10426
60,10426
65,10426
70,10426
75,10426
80,9397
85,9397
90,9397
95,9397
100,9397
105,9397
110,9397
115,9397
120,9397
125,9397
130,9397
135,9397
140,9397
145,9397
150,9397
155,9397
160,9397
165,9397
170,9397
175,9397
180,9397
185,9397
190,9397
195,9397
200,8912
205,8912
210,8912
215,8912
220,8912
225,8646
230,7576
235,7576
240,7576
245,7576
250,7576
255,7576
260,7576
265,7576
270,7576
275,7576
280,7576
285,7332
290,7332
295,7332
300,7332
305,7332
310,7332
315,7332
320,7332
325,7332
330,7332
335,7332
340,7332
345,7332
350,7332
355,7332
360,7332
365,7332
370,7332
375,7332
380,7332
385,7253
390,7253
395,7253
400,7253
405,7253
410,7253
415,7253
420,7253
425,7253
430,7253
435,7253
440,7253
445,7253
450,7253
455,7253
460,7253
465,7253
470,7253
475,7253
480,7253
485,7253
490,7253
495,7091
500,7091
