tours,best_length
5,12664
10,11345
15,11345
20,11206
25,11206
30,11206
35,11039
40,10286
45,10286
50,10286
55,10286
60,9844
65,9844
70,8951
75,8951
80,8951
85,8951
90,8951
95,8951
100,7985
105,7985
110,7985
115,7985
120,7985
125,7985
130,7985
135,7985
140,7985
145,7985
150,7649
155,7649
160,7649
165,7649
170,7649
175,7649
180,7649
185,7649
190,7649
195,7649
200,7649
205,7649
210,7649
215,7649
220,7649
225,7649
230,7649
235,7649
240,7649
245,7649
250,7649
255,7649
260,7649
265,7649
270,7649
275,7649
280,7649
285,7649
290,7649
295,7649
300,7649
305,7649
310,7649
315,7649
320,7649
325,7649
330,7649
335,7649
340,7649
345,7649
350,7649
355,7649
360,7649
365,7649
370,7649
375,7649
380,7649
385,7649
390,7649
395,7649
400,7649
405,7649
410,7649
415,7649
420,7649
425,7649
430,7585
435,7585
440,7585
445,7585
450,7585
455,7434
460,7434
465,7434
470,7434
475,7434
480,7434
485,7434
490,7434
495,7434
500,7434
